text	label
还有 双鸭山 到 淮阴 的 汽车票 吗 13 号 的	7
从 这里 怎么 回家	7
随便 播放 一首 专辑 阁楼 里 的 佛里 的 歌	1
给 看 一下 墓 王之王 嘛	5
我 想 看 挑战 两把 s686 打 突变 团 竞 的 游戏 视频	0
我 想 看 和平 精英 上 战神 必备 技巧 的 游戏 视频	0
2019 年 古装 爱情 电视剧 小女 花不弃 的 花絮 播放 一下	0
找 一个 2004 年 的 推理 剧给 我 看 一会 呢	5
自驾游 去 深圳 都 经过 那些 地方 啊	7
给 我 转播 今天 的 女子双打 乒乓球 比赛 现场	0
单曲 循环 一首 催眠 的 歌 吧	1
你 能 播放 一下 曹盾 导演 的 古装 悬疑剧 呢	5
河南 新闻广播 找 一下 啊 是 新闻台	3
交通 类 的 武汉 交通 广播电台 来 一个 吧	3
播放 香港电台 的 王菲 的 经典音乐	3
给 我 找 一个 魔兽 世界 的 比赛 视频	0
播放 钢琴曲 命运 交响曲	1
早上 七点 开 空调	2
查询 北京 飞 桂林 的 飞机 是否 已经 起飞 了	7
播放 中央 电台 里 的 都市 之声	3
客厅 空调 风速 低 一些 低 一些	2
海南 今天 几级 风	6
打开 烤箱 的 开关 按钮	2
帮 我定 一个 22 号 下午 2 点 参加 公司 年会 的 闹钟 。	4
儿童房 的 空调 调高 4 度	2
6 月 18 号 零点 京东 的 拍卖 活动 提醒 我 一下 。	4
能 随机 给 我 来 一个 赵丽颖 2020 年 上 的 剧 吗	5
麻烦 帮 我 创建 一个 周末 上午 8 点 和 女朋友 的 约会 提醒 。	4
我要 听 治愈 系 的 日语 歌曲	1
我 一定 要 单曲 循环 赵雷 的 我们 的 时光 这首 流行	1
5 月 8 号 下午 4 点 之前 的 提醒 取消 掉	4
让 洗衣机 停止 工作 好 吗	2
昨天 秦岭 是不是 刮风 了	6
我要 出去 旅游 几天 ， 帮 我 把 灯 设置 为 离家 模式 吧	2
音乐 老友记 拨给 我 是 山西 音乐 广播 的	3
我 想 看 2020 年谍 战 电视剧 秋蝉 第三集 花絮	0
能 把 家庭 剧小 欢喜 给 我 播放 一下 吗	5
五一劳动节 是 农历 几时	8
杨延东 2021 年 上线 的 剧 播放 来 看看 呢	5
播放 美国 推理 电影 蜘蛛侠	5
快点 帮 我定 一个 周末 上午 9 点 跟 家人 一起 去 动物园 的 闹钟 。	4
把 盛志耘 主持 的 神州 之声 播放 一下 呢	3
快帮 我查 一下 明天 是 星期 几	8
可不可以 把 电饭煲 开 到 蛋糕 模式 呢	2
查询 衡水 晚上 气温 多少	6
订 三张 明天 早上 飞 成都 的 经济舱	7
农历 的 3 月 26 是 几号	8
下 周六 我 爷爷 让 我 去 买 茶叶 ， 记得 提醒 我	4
明天 叫 我 去 森林 野炊	4
龙抬头 是 什么 时候	8
明天 9 点 的 闹钟 不要 再响 了	4
给 我 播放 雨下 解说 今年 讲解 的 所有 关于 植物 大战 僵尸 的 视频	0
播放 一首 适合 开心 时候 听 的 歌曲 呢	1
快 告诉 我 周四 下午 到 杭州 的 航班	7
这个 烧 水壶 可以 关闭 了	2
我 想 听 顽童 的 辣台 妹能 播放 一下 不	1
很 想 看 日本 的 电影 预告 随便 播 一个 给 我	0
给 我 来 一个 美国 的 漫威 系列 电影 钢铁 侠 1 吧	5
查找 国产 动漫 全职 高手 第一季	0
吴宇森 有个 美国 电影 风语者 口碑 不错 ， 我要 看看	5
找 陈博嘉洋 轮流 主播 的 活 在 成都	3
香港 的 电视剧 鹿鼎记 第三集 花絮 播放 出来	0
帮 我查 一下 玉溪 紫外线 指数 是 多少 。	6
马上 查询 一下 明天 有飞 广州 的 飞机 吗	7
2011 年 最 浪漫 的 歌来 一首 呗	1
经济 类 的 广州 人民 广播电台 经济 环保 广播 可以 收听 给 我 吗	3
把 卧室 的 空调 开 到 十八 度	2
来放 一个 德语 歌曲 给 我 吧	1
今日 法国 有 什么 新闻 看 呢	0
我 想 听 开浩御 书房 的 春秋 大义	3
播 一个 晚上 23 点 45 更新 的 国产 动漫	0
斗罗 大陆 放 第 13 集	5
古尔邦节 是 农历 的 什么 时候	8
王力宏 2019 年 演唱会 的 视频 找 来 看看	0
温度 咋 还是 这么 低 ， 告诉 我下 取暖器 现在 的 温度	2
能 不能 将 5 点 的 闹钟 修改 成 6 点	4
动漫 虫师 第 10 集帮 我 找 一下 吧	0
回答 我能 不能 订 一张 去 天津 的 机票	7
在 中央 人民 广播 里面 找 千里 共 良宵	3
设定 8 点上 毛 选课 的 闹钟	4
1 月 18 日 是 农历 几月 几号	8
现在 把 空气 净化器 设置 成 高速 模式 行嘛	2
快点 帮 我 查查 礼拜 几是 4 月 的 17 日	8
这时候 不想 吹 风扇 了 ， 帮 我 关掉	2
我 想 看 阳光 之下 的 第 12 集	5
南昌 明天 会 降雨 吗	6
夏天 崔 雪峰 的 投 投是 道 找 过去 听听	3
给 我 搜索 2017 年 有 关于 讲解 韩信 的 游戏 视频	0
高莉 主持 的 经济 之声 收听 一下 可以 吗	3
播放 日语 歌泪 的 物语	1
请 给 我 来 一首 吴亦凡 的 英文歌 July 。	1
这 周二 韶关 的 空气质量 怎么样	6
春节 是 星期 几	8
多少 月 多少 号 是 农历 的 2 月 12	8
放 了 些 干货 ， 帮 我 把 冰箱 变温 抽屉 调 到 珍品 档	2
找 岁月 留声机 就 主播 是 凡华 的 那个	3
我要 听 维语 广播 的 名人堂	3
我 现在 就 得关 空调	2
播放 一个 韩剧 窥探 吧	5
循环 播放 张哲瀚 的 环绕 吧	1
洛阳 明天 的 温度 会 低于 零摄氏度 吗 ？	6
麻烦 开启 人体 传感器	2
请 看 下 从 北京 出发 去往 上海 的 路径 规划	7
放 一个 频率 是 九 七点 四 的 先 听 为 快	3
星期 几是 母亲节	8
循环 播放 近 一周 的 香港 湿度 情况	6
酥油花 灯节 是 什么 哪 天	8
给 我 打开 胡歌演 的 伪装者 的 第二十一 集	5
设定 凌晨 3 点 给 宝宝 冲 奶粉	4
明天 上海 还是 会 下雨 吗	6
我 想 看 2021 年谍 战 电视剧 风暴 舞 幕后 故事	0
电视剧 ， 杨幂 主演 的 亲爱 的 翻译官	5
播放 汕头 紫外线 变化	6
1 点 5 倍速 播 安以轩 和 胡冰卿 演 的 独孤 天下	5
重庆 之声 里安 琪 的 周末 快乐 听 着 太 快乐 了 ， 现在 我要 听 这个 快乐	3
立即 查看 综艺 向往 的 生活	0
开启 空气 净化器 睡眠 模式	2
请 告诉 我下 现在 空调 是 多少度 哇	2
调低 把 我 的 空调 温度 调低 些	2
客厅 的 空调 调低 到 28	2
能 告诉 我 明天 紫外线 强 么	6
能 继续 收听 汕头 人民 广播电台 音乐台 吗	3
深圳 文艺 电台 第二台 继续 给 我 收听 一下 吧	3
收听 频率 是 一零 三点 三 的 徐州 人民 广播电台 文艺 台	3
请 播放 带 戏曲 唱腔 的 专辑 赤伶 ， 李玉刚 版 的	1
可以 播放 一部 10 年代 出版 的 海蒂 和 爷爷 吗 ？	5
今天 会 下雪 吗 ， 晚点 一起 堆雪人 能行 吗	6
给 我 找 一个 美剧 偶像剧 播放 一下 吧	5
13 号 去 江门 穿 什么 衣服 不冷	6
中南 民族 大学 怎么 开车 过去	7
帮 我 打开 加湿器	2
鱼 已经 准备 好 了 ， 帮 我 把 蒸 烤机 的 纯蒸 模式 开启 吧	2
我要 听 频率 是 一零 五点 六 的 助眠 电台	3
将 明天 上午 的 闹钟 全部 删除	4
给 我 放 一下 文艺类 的 徐州 人民 广播电台 文艺 台	3
给 我 来 一个 韩国 女神 李 知恩 iu 唱 blueming 的 音乐 视频 吧	0
可以 提醒 我 周六 是 小丽 的 生日 吗	4
农历 的 7 初 19 是 星期 几	8
打开 搜狐 视频 我 想 看 在 桃花 盛开 的 地方	5
查 一下 长春 到 山海关 的 汽车票	7
能 不能 帮 我 设置 连续 60 天 提醒 我发 朋友圈	4
有 石鑫 的 节目 吧 就 听 会儿 I 的 能量 馆 吧	3
大后天 是 几号	8
能 给 我 看 那个 玄幻剧 迷离 档案 吗	5
给 我 找 北京 体育 广播 的 东奥 加速 版 在 FM102 点 5	3
频率 是 一零 零点 五 的 花都 人民 广播电台 收听 一下 吧 给 我	3
播 电台节目 孙芳 主持 的 雨天	3
顶楼 播放 一下 四集 可以 吗	5
今天 是 5 号 明天 是 几号	8
帮 我 看一看 农历 7 月 18 和 农历 7 月 19 哪天 是 9 月 2 号 啊	8
我 是 特种兵 这个 战争片 立刻 放给 我	5
2019 年 男篮 世界杯 巴西 对 希腊 的 比赛 视频	0
回忆 一下 上 周六 海淀 是 雨天 吗	6
请 接着 给 我续 放 海洋 的 下雨天 电台节目	3
一定 循环 播放 我们 的 时光 这首 流行	1
2014 年 的 大话西游 之仙履 奇缘 可以 播放 下 给 我 不	5
帮 我查 一下 明年 国庆节 是 星期 几	8
将 9 点 和 12 点 的 闹铃 删除	4
呼吸 之野里 的 歌曲 随便 来 一首 播放 一下 吧	1
法语 歌曲 可以 随机 来 一首 不	1
下周一 中山 那儿 有没有 可能 下 大暴雨	6
可以 随机 给 我 来 一曲 山河 令 电视剧 里面 的 歌 呢	1
给 我 找 一趟 株洲 去 醴陵 的 最 便宜 的 汽车票 价格 。	7
打开 音响 ， 让 它 自动播放 轻快 的 音乐	2
我 想 看 蜡笔小新 第二季 的 和 爸爸 单独 看家	0
想 看 一下 今天 的 南海 海洋 天气预报 ， 给 我 调到 南海 吧	11
可以 帮 我 把 蒸 烤箱 切换 到 童锁 功能 不	2
柳云龙 演 的 胜算 立刻 播放	5
帮 我 把 冰箱 冷冻室 的 温度 调 到 零下 25 度 吧	2
设置 一个 今天下午 6 点 的 做饭 的 闹钟	4
11 天 之后 提醒 我 给 我 妈 发红包	4
